City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kenai,60.5544,-151.2583,55.02,85,100,17.27,US,1660015032
Ushuaia,-54.8,-68.3,38.86,60,75,10.36,AR,1660015315
Seoul,37.5683,126.9778,78.19,100,100,6.91,KR,1660015316
Kruisfontein,-34.0033,24.7314,49.89,89,95,7.23,ZA,1660015316
Townsville,-19.25,146.8,72.48,43,0,14.97,AU,1660015100
Muhos,64.808,25.9931,46.18,90,28,3.78,FI,1660015316
Nara,34.6851,135.8049,97.97,35,86,5.77,JP,1660015207
Harbour Breton,47.4833,-55.7983,60.44,77,63,18.05,CA,1660015317
Dikson,73.5069,80.5464,41.86,96,43,19.95,RU,1660015317
New Norfolk,-42.7826,147.0587,54.91,47,5,1.77,AU,1660015317
Jamestown,42.097,-79.2353,73.04,72,100,13.8,US,1660015318
Bengkulu,-3.8004,102.2655,82.58,71,6,5.53,ID,1660015097
Puerto Ayora,-0.7393,-90.3518,68.56,89,82,1.99,EC,1660015318
Khatanga,71.9667,102.5,65.7,59,40,20.58,RU,1660015318
Yellowknife,62.456,-114.3525,61.32,63,75,6.91,CA,1660015319
Punta Arenas,-53.15,-70.9167,37.51,81,100,13.8,CL,1660015319
Tasiilaq,65.6145,-37.6368,39.36,96,100,1.72,GL,1660015319
Luwuk,-0.9516,122.7875,82.47,80,34,5.06,ID,1660015319
Vila,42.0304,-8.1588,59.7,85,0,3.91,PT,1660015320
Vila Velha,-20.3297,-40.2925,73.35,86,0,3.44,BR,1660015320
Kapaa,22.0752,-159.319,84.18,73,40,12.66,US,1660015320
Hermanus,-34.4187,19.2345,54.81,79,4,2.55,ZA,1660015321
Saint George,37.1041,-113.5841,99.19,26,0,11.5,US,1660015321
Lompoc,34.6391,-120.4579,71.56,83,0,21.0,US,1660015321
Otane,-39.8833,176.6333,53.01,92,100,11.95,NZ,1660015322
Tuktoyaktuk,69.4541,-133.0374,62.6,63,100,8.05,CA,1660015322
Tual,-5.6667,132.75,78.15,86,100,22.08,ID,1660015322
Vaini,-21.2,-175.2,80.76,89,40,11.5,TO,1660015323
Thompson,55.7435,-97.8558,62.76,94,75,0.0,CA,1660015235
Carnarvon,-24.8667,113.6333,66.97,47,1,20.15,AU,1660015323
Busselton,-33.65,115.3333,51.85,69,91,16.91,AU,1660015323
Bluff,-46.6,168.3333,45.97,57,5,13.76,NZ,1660015324
Fort Nelson,58.8053,-122.7002,69.39,35,40,8.05,CA,1660015324
Rikitea,-23.1203,-134.9692,73.67,78,99,19.44,PF,1660015324
Longyearbyen,78.2186,15.6401,46.24,81,75,8.05,SJ,1660015057
Mataura,-46.1927,168.8643,45.19,58,4,7.16,NZ,1660015325
East London,-33.0153,27.9116,56.34,94,0,5.75,ZA,1660015150
Paamiut,61.994,-49.6678,41.58,86,100,18.23,GL,1660015325
Okhotsk,59.3833,143.3,64.76,62,100,23.42,RU,1660015325
Cape Town,-33.9258,18.4232,53.91,89,2,1.99,ZA,1660015326
Mincivan,39.0294,46.7185,74.62,68,0,0.47,AZ,1660015326
Khani,41.9563,42.9566,58.57,76,0,5.75,GE,1660015327
Quatre Cocos,-20.2078,57.7625,69.91,76,50,14.38,MU,1660015327
Qaanaaq,77.484,-69.3632,33.33,60,0,3.98,GL,1660015327
Axams,47.2081,11.2869,51.04,88,2,2.3,AT,1660015327
Barentu,15.1139,37.5928,68.74,89,100,4.88,ER,1660015328
Lindi,-10.0,39.7167,63.39,96,19,4.41,TZ,1660015328
Narsaq,60.9167,-46.05,44.82,86,68,2.59,GL,1660015071
Káto Mazaráki,38.0667,21.65,78.4,52,0,4.97,GR,1660015329
Mahébourg,-20.4081,57.7,70.09,78,40,8.05,MU,1660015329
Uglovskoye,51.3557,80.1942,75.63,38,100,10.07,RU,1660015329
Bonfim,3.0833,-59.95,79.14,72,73,3.87,BR,1660015330
Bloomington,44.8408,-93.2983,68.32,79,0,0.0,US,1660015054
Canutama,-6.5339,-64.3831,74.98,73,13,2.46,BR,1660015330
Alyangula,-13.8483,136.4192,79.88,55,99,13.53,AU,1660015331
Lebu,-37.6167,-73.65,45.73,86,76,8.41,CL,1660015331
Dwārka,22.2394,68.9678,82.36,85,100,12.33,IN,1660015331
Butaritari,3.0707,172.7902,82.17,76,23,15.23,KI,1660015332
Dali,25.7,100.1833,74.89,65,71,0.36,CN,1660015332
Bethel,41.3712,-73.414,80.47,85,75,3.44,US,1660015302
Nortelândia,-14.4547,-56.8028,71.65,93,51,0.13,BR,1660015333
Barrow,71.2906,-156.7887,42.82,75,100,9.22,US,1660015333
Hobart,-42.8794,147.3294,55.26,62,20,5.75,AU,1660015220
Nikolskoye,59.7035,30.7861,54.88,95,69,0.43,RU,1660015333
Avarua,-21.2078,-159.775,75.25,57,75,19.57,CK,1660015334
Provideniya,64.3833,-173.3,55.51,54,20,11.18,RU,1660015334
Dumai,1.6833,101.45,86.79,58,94,2.95,ID,1660015335
Castro,-24.7911,-50.0119,56.55,98,100,9.22,BR,1660015335
Santiago del Estero,-27.7951,-64.2615,49.95,55,0,14.41,AR,1660015335
Moen,69.1304,18.6123,49.86,100,75,0.0,NO,1660015336
Ma-ao,10.4923,122.992,84.61,73,93,6.06,PH,1660015336
Hithadhoo,-0.6,73.0833,81.64,66,95,1.52,MV,1660015277
Pedernales,18.0384,-71.744,83.12,76,100,9.06,DO,1660015337
Chapais,49.7834,-74.8492,55.18,95,100,4.97,CA,1660015337
Shintomi,32.0785,131.4723,87.12,61,100,8.32,JP,1660015337
Torbay,47.6666,-52.7314,60.28,87,100,9.22,CA,1660015338
Rio Branco,-9.9747,-67.81,72.21,100,40,0.0,BR,1660015338
Mizdah,31.4451,12.9801,70.52,69,0,2.53,LY,1660015338
San Cristobal,7.7669,-72.225,73.58,94,71,2.66,VE,1660015339
Wanning,18.8003,110.3967,83.25,85,100,12.75,CN,1660015339
Biak,-0.9131,122.8766,80.24,78,41,6.22,ID,1660015339
Ahipara,-35.1667,173.1667,58.03,80,7,4.34,NZ,1660015319
Monrovia,6.3005,-10.7969,74.97,85,100,9.24,LR,1660015340
Hanstholm,57.1167,8.6167,58.48,91,63,12.59,DK,1660015340
Lavrentiya,65.5833,-171.0,44.87,75,36,12.66,RU,1660015156
Prince Rupert,54.3161,-130.3201,64.49,67,0,14.97,CA,1660015341
Westport,41.1415,-73.3579,82.89,86,0,9.22,US,1660015341
High Level,58.5169,-117.136,64.51,59,40,4.61,CA,1660015341
Ribeira Grande,38.5167,-28.7,73.85,78,4,10.47,PT,1660015342
Klyuchi,52.2667,79.1667,72.93,50,100,10.4,RU,1660015342
Santa Flavia,38.085,13.5351,80.38,74,0,5.99,IT,1660015342
Wau,7.7029,27.9953,70.61,91,100,3.49,SS,1660015343
Bredasdorp,-34.5322,20.0403,50.65,93,6,3.09,ZA,1660015343
Arrondissement du Havre,49.5833,0.3333,59.4,88,0,9.22,FR,1660015344
George Town,5.4112,100.3354,89.53,76,20,6.91,MY,1660015344
Bambous Virieux,-20.3428,57.7575,70.05,78,40,8.05,MU,1660015224
Sinnamary,5.3833,-52.95,78.94,85,97,10.47,GF,1660015344
Vanavara,60.34,102.2797,62.96,69,77,3.78,RU,1660015345
Pozo Colorado,-23.4923,-58.7972,59.79,77,100,8.21,PY,1660015345
Cayenne,4.9333,-52.3333,82.09,1,0,4.61,GF,1660015345
Norman Wells,65.282,-126.8329,69.84,40,75,8.05,CA,1660015346
Ostrovnoy,68.0531,39.5131,49.48,85,11,9.73,RU,1660015346
Atuona,-9.8,-139.0333,77.56,70,33,17.2,PF,1660015346
Gizo Government Station,-8.103,156.8419,83.21,71,68,5.79,SB,1660015347
Aktobe,50.2797,57.2072,68.09,68,19,2.24,KZ,1660015347
Tadine,-21.55,167.8833,70.36,69,98,15.97,NC,1660015347
Hambantota,6.1241,81.1185,81.16,73,100,18.14,LK,1660015348
Saint-Augustin,51.226,-58.6502,55.96,70,100,0.94,CA,1660015348
Faanui,-16.4833,-151.75,76.8,62,44,15.84,PF,1660015349
Padang,-0.9492,100.3543,84.25,67,15,3.2,ID,1660015228
Acheng,45.5454,126.977,73.65,55,0,15.95,CN,1660015349
Griffith,41.5284,-87.4237,69.66,91,100,9.22,US,1660015237
Wagar,16.1525,36.2032,77.74,76,98,12.82,SD,1660015349
Pirapora do Bom Jesus,-23.3969,-47.0022,65.01,94,100,5.03,BR,1660015350
Guanaja,16.4,-85.9,82.47,77,99,12.77,HN,1660015095
Yeppoon,-23.1333,150.7333,69.58,42,0,6.51,AU,1660015350
Mar del Plata,-38.0023,-57.5575,50.09,90,0,4.0,AR,1660015350
Katsuura,35.1333,140.3,85.14,75,90,22.21,JP,1660015229
Portland,45.5234,-122.6762,82.38,56,20,9.22,US,1660014978
Kiruna,67.8557,20.2251,43.72,81,100,6.91,SE,1660015351
Coquimbo,-29.9533,-71.3436,51.53,76,0,4.61,CL,1660015084
Bilibino,68.0546,166.4372,65.41,30,100,6.02,RU,1660015151
Shizunai-furukawachō,42.3339,142.3669,70.95,98,100,5.7,JP,1660015351
Klamath Falls,42.2249,-121.7817,81.97,25,20,8.05,US,1660015352
Caravelas,-17.7125,-39.2481,72.55,75,5,9.01,BR,1660015317
Bariloche,-41.1456,-71.3082,28.15,93,40,4.61,AR,1660015146
Umba,66.6871,34.3429,49.23,84,29,3.87,RU,1660015352
Mugur-Aksy,50.35,90.5,62.47,51,17,0.87,RU,1660015352
Kirakira,-10.4544,161.9205,83.93,70,16,6.33,SB,1660015353
Golden,39.7555,-105.2211,78.62,55,5,5.01,US,1660015233
Praia da Vitória,38.7333,-27.0667,71.76,88,20,5.32,PT,1660015353
Nogliki,51.8333,143.1667,70.36,69,53,12.71,RU,1660015353
Nyurba,63.2842,118.3319,66.85,64,100,7.67,RU,1660015354
Asău,46.4333,26.4,63.52,90,5,3.15,RO,1660015354
Port Alfred,-33.5906,26.891,60.17,81,80,8.48,ZA,1660015354
Nanortalik,60.1432,-45.2371,41.36,93,36,7.49,GL,1660015355
Isangel,-19.55,169.2667,78.91,73,57,11.5,VU,1660015355
Alfred,42.2542,-77.7906,77.99,82,87,8.99,US,1660015355
Te Anau,-45.4167,167.7167,35.42,83,17,1.32,NZ,1660015058
Nago,26.5881,127.9761,91.83,71,48,7.52,JP,1660015356
Kaitangata,-46.2817,169.8464,44.83,60,23,12.33,NZ,1660015356
São Filipe,14.8961,-24.4956,79.0,82,64,5.7,CV,1660015297
Touros,-5.1989,-35.4608,73.45,89,25,12.21,BR,1660015107
Sitka,57.0531,-135.33,62.49,67,20,13.8,US,1660015356
Roald,62.5833,6.1333,62.17,88,100,6.91,NO,1660015357
Flinders,-34.5833,150.8552,55.06,86,100,11.61,AU,1660015357
Farafangana,-22.8167,47.8333,62.76,90,6,4.79,MG,1660015357
Kallaste,58.655,27.1592,57.43,80,96,3.83,EE,1660015357
Korla,41.7597,86.1469,91.49,23,12,10.16,CN,1660015358
Boulsa,12.6675,-0.5758,79.77,72,89,7.61,BF,1660015358
Vao,-22.6667,167.4833,68.59,59,46,18.25,NC,1660015358
Tugulym,57.0591,64.6425,68.32,69,6,4.59,RU,1660015359
Östersund,63.1792,14.6357,54.05,82,100,5.75,SE,1660015359
Ancud,-41.8697,-73.8203,45.23,84,100,5.35,CL,1660015359
Fukuechō,32.6881,128.8419,86.36,79,75,10.36,JP,1660015360
Chui,-33.6971,-53.4616,48.02,86,84,7.11,UY,1660015071
Hilo,19.7297,-155.09,88.29,83,75,6.91,US,1660015360
Saint-Philippe,-21.3585,55.7679,65.21,79,39,8.99,RE,1660015360
San Antonio,29.4241,-98.4936,90.05,59,75,12.66,US,1660015361
Raja,8.4596,25.678,68.5,97,93,4.79,SS,1660015361
Birao,10.2849,22.7882,70.29,96,84,4.88,CF,1660015361
Dera Bugti,29.0307,69.151,89.01,61,68,5.95,PK,1660015361
Albany,42.6001,-73.9662,77.68,85,84,6.4,US,1660015329
Charters Towers,-20.1,146.2667,71.85,22,0,11.23,AU,1660015362
Qaqortoq,60.7167,-46.0333,41.97,92,62,6.24,GL,1660015241
Alice Springs,-23.7,133.8833,72.95,13,4,9.22,AU,1660015161
Genhe,50.7833,121.5167,67.3,35,71,14.07,CN,1660015362
Cidreira,-30.1811,-50.2056,59.54,85,100,12.5,BR,1660015362
Baoding,38.8511,115.4903,66.34,96,100,8.14,CN,1660015363
Mgandu,-5.95,34.1333,53.22,74,3,6.24,TZ,1660015363
Port Macquarie,-31.4333,152.9167,61.9,70,32,16.6,AU,1660015363
Moree,-29.4667,149.85,61.74,40,1,7.63,AU,1660015364
Skjervøy,70.0311,20.9714,50.0,72,100,11.56,NO,1660015364
San Patricio,28.017,-97.5169,85.86,69,23,12.08,US,1660015364
Krasnosel'kup,65.7,82.4667,77.31,54,0,11.03,RU,1660015365
Flin Flon,54.7682,-101.865,59.04,87,58,7.9,CA,1660015365
Buraidah,26.326,43.975,90.05,19,0,9.82,SA,1660015365
Henties Bay,-22.116,14.2845,53.98,86,8,4.59,NA,1660015365
Inta,66.0317,60.1659,60.12,70,99,11.5,RU,1660015366
Ust-Nera,64.5667,143.2,75.79,41,3,1.95,RU,1660015366
Pevek,69.7008,170.3133,43.95,67,87,12.21,RU,1660015366
Enshi,30.3,109.4833,92.52,56,70,2.3,CN,1660015367
Ilulissat,69.2167,-51.1,41.02,93,100,10.36,GL,1660015300
Paptalaya,15.5,-84.3167,74.93,95,100,2.01,HN,1660015367
Dashitou,43.3067,128.5114,74.25,50,30,12.46,CN,1660015367
Mbini,1.574,9.6134,75.47,87,99,9.78,GQ,1660015368
Esperance,-33.8667,121.9,55.81,65,32,16.46,AU,1660015368
Vrangel',42.7297,133.0839,74.7,53,99,5.77,RU,1660015368
Labuhan,-6.8844,112.2051,86.38,57,5,4.05,ID,1660015369
Carauari,-4.8828,-66.8958,75.09,86,43,1.1,BR,1660015369
Boa Vista,2.8197,-60.6733,84.18,70,0,4.61,BR,1660015369
Buala,-8.145,159.5921,84.76,67,26,4.61,SB,1660015370
Brae,60.3964,-1.353,55.26,93,100,11.32,GB,1660015370
Codrington,-38.2667,141.9667,57.13,52,5,7.38,AU,1660015370
Bathsheba,13.2167,-59.5167,83.01,83,40,17.27,BB,1660015370
Hong Kong,22.2855,114.1577,82.45,88,100,11.99,HK,1660015346
Mahibadhoo,3.7833,72.9667,82.06,77,100,13.76,MV,1660015371
Puerto Baquerizo Moreno,-0.9,-89.6,68.14,77,90,10.8,EC,1660015365
Fryanovo,56.1333,38.45,56.71,95,100,4.63,RU,1660015371
Grand Gaube,-20.0064,57.6608,70.2,76,3,1.99,MU,1660015372
Kuusamo,65.9667,29.1833,44.64,93,20,1.14,FI,1660015372
Bubaque,11.2833,-15.8333,79.36,83,71,11.92,GW,1660015372
Camacha,33.0833,-16.3333,65.62,83,40,12.66,PT,1660015372
Talnakh,69.4865,88.3972,63.21,85,62,2.66,RU,1660015373
Coos Bay,43.3665,-124.2179,64.31,91,100,5.75,US,1660015373
Visnes,59.3556,5.2242,56.21,94,20,6.91,NO,1660015373
Pandan,14.0453,124.1694,84.09,74,99,0.89,PH,1660015374
Husavik,66.0449,-17.3389,54.66,72,100,18.79,IS,1660015374
Samarai,-10.6167,150.6667,81.14,66,62,14.47,PG,1660015374
Severo-Kuril'sk,50.6789,156.125,55.74,95,100,21.47,RU,1660015375
Urubichá,-15.3833,-62.95,66.11,97,84,5.59,BO,1660015375
Margate,51.3813,1.3862,62.69,92,6,1.01,GB,1660015375
Fairbanks,64.8378,-147.7164,62.6,53,75,12.66,US,1660015375
Klaksvík,62.2266,-6.589,52.72,94,83,16.96,FO,1660015376
Port Hedland,-20.3167,118.5667,84.25,11,4,9.22,AU,1660015183
Sioux Lookout,50.1001,-91.917,66.27,77,0,4.61,CA,1660015376
Port Elizabeth,-33.918,25.5701,55.69,97,0,9.22,ZA,1660015376
Raudeberg,61.9875,5.1352,57.96,64,100,17.4,NO,1660015377
Dingle,10.9995,122.6711,81.9,79,100,3.33,PH,1660015377
Camaná,-16.6228,-72.7111,60.39,80,24,10.0,PE,1660015377
Juneau,58.3019,-134.4197,59.85,90,100,3.44,US,1660015378
Cabo San Lucas,22.8909,-109.9124,86.5,77,90,6.44,MX,1660015326
Quelimane,-17.8786,36.8883,60.75,100,0,4.61,MZ,1660015378
Plettenberg Bay,-34.0527,23.3716,58.8,71,88,6.78,ZA,1660015378
Marzuq,14.4,46.4667,76.39,73,90,5.26,YE,1660015379
Saint Paul Harbor,57.79,-152.4072,56.71,72,100,3.44,US,1660015288
Crotone,39.0851,17.1178,77.2,69,31,10.6,IT,1660015379
Oriximiná,-1.7656,-55.8661,77.99,70,97,3.15,BR,1660015380
Staryy Nadym,65.6118,72.6842,63.73,66,56,17.16,RU,1660015380
Kroya,-7.6331,109.2461,81.9,69,45,10.18,ID,1660015380
Ugento,39.9263,18.1574,75.45,70,58,9.8,IT,1660015380
Kandrian,-6.2167,149.55,81.34,82,79,10.4,PG,1660015381
Penzance,50.1186,-5.5371,61.48,79,6,12.41,GB,1660015381
Cockburn Town,21.4612,-71.1419,81.73,87,100,22.08,TC,1660015381
Togur,58.3631,82.8265,64.71,63,88,7.0,RU,1660015382
Pital,2.2665,-75.8044,66.45,88,22,5.77,CO,1660015382
Limanowa,49.7059,20.422,52.34,88,50,1.16,PL,1660015382
Malinovskiy,61.1953,62.8397,72.5,59,61,6.76,RU,1660015383
Departamento de Maldonado,-34.6667,-54.9167,50.23,83,93,2.91,UY,1660015383
Bereda,43.2686,-7.5406,63.57,100,36,4.45,ES,1660015383
Christchurch,-43.5333,172.6333,45.91,62,100,10.36,NZ,1660015246
Dalvik,65.9702,-18.5286,55.33,83,99,10.31,IS,1660015384
Vilcún,-38.65,-72.2333,34.54,92,45,1.66,CL,1660015384
Olafsvik,64.8945,-23.7142,51.8,96,100,14.63,IS,1660015154
Tocopilla,-22.092,-70.1979,61.29,65,0,3.67,CL,1660015385
Rio Grande,-32.035,-52.0986,53.94,79,51,14.45,BR,1660015385
Buin,-33.7333,-70.75,49.12,42,0,4.09,CL,1660015385
Tamiahua,21.2667,-97.45,79.59,76,12,4.54,MX,1660015370
Bijāwar,24.6333,79.5,83.98,73,65,12.28,IN,1660015386
Sarkand,45.41,79.9186,74.57,49,41,4.32,KZ,1660015386
Hailin,44.5833,129.4167,77.11,41,0,13.94,CN,1660015386
Uchaly,54.2996,59.4521,64.78,81,9,4.88,RU,1660015386
Mabamba,-3.5983,30.5019,61.11,46,8,1.5,TZ,1660015387
Kotido,2.9806,34.1331,66.33,85,80,4.18,UG,1660015387
Upata,8.0086,-62.3989,77.2,87,15,3.44,VE,1660015387
Upernavik,72.7868,-56.1549,42.49,82,100,2.1,GL,1660015388
Neuquén,-38.9516,-68.0591,44.49,81,100,3.44,AR,1660015388
Arraial do Cabo,-22.9661,-42.0278,70.21,88,99,7.58,BR,1660015339
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,54.86,73,71,5.91,AR,1660015388
Shimoda,34.6667,138.95,93.11,74,77,14.43,JP,1660015389
Malanje,-9.5402,16.341,60.71,53,4,2.28,AO,1660015389
Mehamn,71.0357,27.8492,49.91,83,100,14.56,NO,1660015389
Hamilton,39.1834,-84.5333,80.44,87,0,5.75,US,1660015167
Borgarnes,64.5383,-21.9206,54.81,96,100,5.68,IS,1660015390
Carutapera,-1.195,-46.02,76.37,88,30,6.35,BR,1660015390
Yabēlo,4.8833,38.0833,56.64,68,79,6.44,ET,1660015391
Bahía Honda,22.9036,-83.1592,80.01,84,9,8.66,CU,1660015391
Iztapa,13.9333,-90.7075,76.75,89,100,3.58,GT,1660015391
Lata,40.1629,-8.3327,60.15,90,0,2.19,PT,1660015222
Coihueco,-36.6167,-71.8333,41.74,93,0,6.91,CL,1660015392
Antalaha,-14.9003,50.2788,67.93,82,73,7.81,MG,1660015392
Salalah,17.0151,54.0924,75.29,100,100,5.75,OM,1660015376
Rabo de Peixe,37.8,-25.5833,69.31,88,75,2.3,PT,1660015392
Port Lincoln,-34.7333,135.8667,59.36,48,45,14.43,AU,1660015393
Camocim,-2.9022,-40.8411,74.98,79,4,11.99,BR,1660015394
Şuraabad,40.8192,49.4687,77.47,61,52,25.08,AZ,1660015394
Băiţa de sub Codru,47.5333,23.15,63.59,94,100,1.81,RO,1660015395
Allonnes,47.9674,0.1581,64.44,63,0,5.75,FR,1660015395
Laas,46.6166,10.7002,63.48,83,0,2.42,IT,1660015395
